Recipe Name,Ingredients,Country of Origin,Time to Cook
Spaghetti Carbonara,"Spaghetti, Guanciale, Eggs, Pecorino Romano, Black Pepper",Italy,20 mins
Chicken Tikka Masala,"Chicken, Yogurt, Tomato Puree, Garam Masala, Ginger, Garlic",India/UK,45 mins
Tacos al Pastor,"Pork, Pineapple, Achiote Paste, Corn Tortillas, Onion, Cilantro",Mexico,60 mins
Pad Thai,"Rice Noodles, Shrimp, Bean Sprouts, Peanuts, Tamarind Paste, Egg",Thailand,30 mins
Beef Bourguignon,"Beef Chuck, Red Wine, Pearl Onions, Mushrooms, Carrots, Thyme",France,180 mins
Sushi Rolls (Maki),"Sushi Rice, Nori, Salmon, Cucumber, Rice Vinegar",Japan,50 mins
Feijoada,"Black Beans, Pork, Beef, Garlic, Bay Leaves",Brazil,150 mins
Shakshuka,"Eggs, Tomato Sauce, Chili Peppers, Onions, Cumin, Paprika",North Africa,25 mins
Bibimbap,"Rice, Spinach, Bean Sprouts, Gochujang, Beef, Egg",South Korea,40 mins
Moussaka,"Eggplant, Ground Lamb, B̩chamel Sauce, Tomato, Potatoes",Greece,90 mins
Peking Duck,"Duck, Maltose Syrup, Soy Sauce, Five-spice Powder",China,240 mins
Pierogi,"Flour, Potatoes, Quark Cheese, Onions, Sour Cream",Poland,60 mins
Poutine,"French Fries, Cheese Curds, Beef Gravy",Canada,20 mins
Goulash,"Beef, Onions, Paprika, Tomatoes, Bell Peppers",Hungary,120 mins
Paella Valenciana,"Bomba Rice, Saffron, Rabbit, Chicken, Green Beans",Spain,45 mins
Adobo,"Chicken, Soy Sauce, Vinegar, Garlic, Peppercorns",Philippines,50 mins
Wiener Schnitzel,"Veal Cutlets, Flour, Eggs, Breadcrumbs, Lemon",Austria,20 mins
Tom Yum Goong,"Shrimp, Lemongrass, Galangal, Kaffir Lime Leaves, Chili",Thailand,25 mins
Ratatouille,"Zucchini, Eggplant, Bell Peppers, Tomatoes, Garlic",France,60 mins
Pho,"Beef, Rice Noodles, Star Anise, Ginger, Cinnamon",Vietnam,180 mins
Nasi Goreng,"Rice, Kecap Manis, Shrimp Paste, Garlic, Egg",Indonesia,15 mins
Falafel,"Chickpeas, Parsley, Cilantro, Garlic, Cumin",Middle East,30 mins
Ceviche,"White Fish, Lime Juice, Red Onion, Cilantro, Chili",Peru,30 mins
Jollof Rice,"Rice, Tomatoes, Scotch Bonnet Peppers, Onions",Nigeria,60 mins
Ramen,"Wheat Noodles, Pork Belly, Egg, Miso, Ginger",Japan,120 mins
Fish and Chips,"White Fish, Flour, Beer, Potatoes, Tartar Sauce",UK,35 mins
Chiles en Nogada,"Poblano Chiles, Pork, Walnut Sauce, Pomegranate",Mexico,90 mins
Doro Wat,"Chicken, Berbere Spice, Onions, Butter, Eggs",Ethiopia,120 mins
Butter Chicken,"Chicken, Cream, Tomato Paste, Garam Masala, Butter",India,45 mins
Koshary,"Rice, Macaroni, Lentils, Chickpeas, Tomato Sauce",Egypt,45 mins
Spanakopita,"Filo Pastry, Spinach, Feta Cheese, Onions, Eggs",Greece,60 mins
Dal Tadka,"Lentils, Cumin, Garlic, Turmeric, Ghee",India,30 mins
Gado-Gado,"Tempeh, Tofu, Cabbage, Bean Sprouts, Peanut Sauce",Indonesia,25 mins
Chana Masala,"Chickpeas, Tomatoes, Onions, Ginger, Garam Masala",India,40 mins
Mujaddara,"Lentils, Rice, Onions, Cumin",Levant,50 mins
Shiro Wat,"Chickpea Flour, Berbere Spice, Garlic, Onions, Oil",Ethiopia,45 mins
Mapo Tofu,"Tofu, Ground Pork, Chili Bean Paste, Sichuan Peppercorns",China,20 mins
Misir Wat,"Red Lentils, Berbere Spice, Garlic, Ginger, Onions",Ethiopia,50 mins
Khachapuri,"Dough, Sulguni Cheese, Butter, Egg",Georgia,45 mins
Margarita Pizza,"Dough, Tomatoes, Mozzarella, Basil",Italy,15 mins
Caponata,"Eggplant, Celery, Capers, Vinegar, Olives, Tomato",Italy,40 mins
Som Tam,"Green Papaya, Lime, Chilies, Peanuts, Green Beans",Thailand,15 mins
Hummus,"Chickpeas, Tahini, Lemon, Garlic, Olive Oil",Middle East,10 mins
Bruschetta,"Bread, Tomatoes, Garlic, Basil, Olive Oil",Italy,15 mins
Guacamole,"Avocado, Lime, Onion, Cilantro, Tomato",Mexico,10 mins
Gazpacho,"Tomatoes, Cucumber, Bell Pepper, Garlic, Olive Oil",Spain,20 mins
Tabbouleh,"Parsley, Mint, Bulgur, Tomato, Onion, Lemon",Levant,30 mins
Baba Ghanoush,"Eggplant, Tahini, Garlic, Lemon, Olive Oil",Middle East,45 mins
Minestrone,"Carrots, Celery, Onion, Beans, Tomatoes, Pasta",Italy,60 mins
Pesto Pasta,"Pasta, Basil, Garlic, Parmesan, Olive Oil, Pine Nuts",Italy,15 mins
Caprese Salad,"Mozzarella, Tomatoes, Basil, Olive Oil",Italy,5 mins
Quinoa Salad,"Quinoa, Cucumber, Tomato, Feta, Lemon, Parsley",International,20 mins
Dal Makhani,"Black Lentils, Kidney Beans, Butter, Cream, Ginger, Garlic",India,120 mins
Aloo Gobi,"Potatoes, Cauliflower, Turmeric, Ginger, Garlic, Cumin",India,30 mins
Paneer Tikka,"Paneer, Yogurt, Bell Pepper, Onion, Tikka Spices",India,30 mins